2022-08-29 16:05:44 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2022-08-29 16:05:44 install libpam0g:arm64 <none> 1.3.1-5ubuntu4
2022-08-29 16:05:44 status half-installed libpam0g:arm64 1.3.1-5ubuntu4
2022-08-29 16:05:45 status unpacked libpam0g:arm64 1.3.1-5ubuntu4
2022-08-29 16:05:45 install libpcre2-8-0:arm64 <none> 10.34-7
2022-08-29 16:05:45 status half-installed libpcre2-8-0:arm64 10.34-7
2022-08-29 16:05:45 status unpacked libpcre2-8-0:arm64 10.34-7
2022-08-29 16:05:45 install libpcre3:arm64 <none> 2:8.39-12build1
2022-08-29 16:05:45 status half-installed libpcre3:arm64 2:8.39-12build1
2022-08-29 16:05:45 status unpacked libpcre3:arm64 2:8.39-12build1
2022-08-29 16:05:45 install libprocps8:arm64 <none> 2:3.3.16-1ubuntu2
2022-08-29 16:05:45 status half-installed libprocps8:arm64 2:3.3.16-1ubuntu2
2022-08-29 16:05:45 status unpacked libprocps8:arm64 2:3.3.16-1ubuntu2
2022-08-29 16:05:45 install libselinux1:arm64 <none> 3.0-1build2
2022-08-29 16:05:45 status half-installed libselinux1:arm64 3.0-1build2
2022-08-29 16:05:45 status unpacked libselinux1:arm64 3.0-1build2
2022-08-29 16:05:45 install libsemanage-common:all <none> 3.0-1build2
2022-08-29 16:05:45 status half-installed libsemanage-common:all 3.0-1build2
2022-08-29 16:05:45 status unpacked libsemanage-common:all 3.0-1build2
2022-08-29 16:05:45 install libsemanage1:arm64 <none> 3.0-1build2
2022-08-29 16:05:45 status half-installed libsemanage1:arm64 3.0-1build2
2022-08-29 16:05:45 status unpacked libsemanage1:arm64 3.0-1build2
2022-08-29 16:05:45 install libsepol1:arm64 <none> 3.0-1
2022-08-29 16:05:45 status half-installed libsepol1:arm64 3.0-1
2022-08-29 16:05:45 status unpacked libsepol1:arm64 3.0-1
2022-08-29 16:05:45 install libsmartcols1:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:45 status half-installed libsmartcols1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:45 status unpacked libsmartcols1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:45 install libss2:arm64 <none> 1.45.5-2ubuntu1
2022-08-29 16:05:45 status half-installed libss2:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:45 status unpacked libss2:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:45 install libsystemd0:arm64 <none> 245.4-4ubuntu3
2022-08-29 16:05:45 status half-installed libsystemd0:arm64 245.4-4ubuntu3
2022-08-29 16:05:45 status unpacked libsystemd0:arm64 245.4-4ubuntu3
2022-08-29 16:05:45 install libtinfo6:arm64 <none> 6.2-0ubuntu2
2022-08-29 16:05:45 status half-installed libtinfo6:arm64 6.2-0ubuntu2
2022-08-29 16:05:45 status unpacked libtinfo6:arm64 6.2-0ubuntu2
2022-08-29 16:05:45 install libudev1:arm64 <none> 245.4-4ubuntu3
2022-08-29 16:05:45 status half-installed libudev1:arm64 245.4-4ubuntu3
2022-08-29 16:05:45 status unpacked libudev1:arm64 245.4-4ubuntu3
2022-08-29 16:05:45 install libuuid1:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:45 status half-installed libuuid1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:45 status unpacked libuuid1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:45 install libzstd1:arm64 <none> 1.4.4+dfsg-3
2022-08-29 16:05:45 status half-installed libzstd1:arm64 1.4.4+dfsg-3
2022-08-29 16:05:45 status unpacked libzstd1:arm64 1.4.4+dfsg-3
2022-08-29 16:05:45 install login:arm64 <none> 1:4.8.1-1ubuntu5
2022-08-29 16:05:45 status half-installed login:arm64 1:4.8.1-1ubuntu5
2022-08-29 16:05:45 status unpacked login:arm64 1:4.8.1-1ubuntu5
2022-08-29 16:05:45 install logsave:arm64 <none> 1.45.5-2ubuntu1
2022-08-29 16:05:45 status half-installed logsave:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:45 status unpacked logsave:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:45 install lsb-base:all <none> 11.1.0ubuntu2
2022-08-29 16:05:45 status half-installed lsb-base:all 11.1.0ubuntu2
2022-08-29 16:05:45 status unpacked lsb-base:all 11.1.0ubuntu2
2022-08-29 16:05:45 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2022-08-29 16:05:45 status half-configured mawk:arm64 1.3.4.20200120-2
2022-08-29 16:05:45 status unpacked mawk:arm64 1.3.4.20200120-2
2022-08-29 16:05:45 status half-installed mawk:arm64 1.3.4.20200120-2
2022-08-29 16:05:45 status unpacked mawk:arm64 1.3.4.20200120-2
2022-08-29 16:05:45 install mount:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:45 status half-installed mount:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:45 status unpacked mount:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:45 install ncurses-base:all <none> 6.2-0ubuntu2
2022-08-29 16:05:45 status half-installed ncurses-base:all 6.2-0ubuntu2
2022-08-29 16:05:45 status unpacked ncurses-base:all 6.2-0ubuntu2
2022-08-29 16:05:45 install ncurses-bin:arm64 <none> 6.2-0ubuntu2
2022-08-29 16:05:45 status half-installed ncurses-bin:arm64 6.2-0ubuntu2
2022-08-29 16:05:45 status unpacked ncurses-bin:arm64 6.2-0ubuntu2
2022-08-29 16:05:45 install passwd:arm64 <none> 1:4.8.1-1ubuntu5
2022-08-29 16:05:45 status half-installed passwd:arm64 1:4.8.1-1ubuntu5
2022-08-29 16:05:46 status unpacked passwd:arm64 1:4.8.1-1ubuntu5
2022-08-29 16:05:46 upgrade perl-base:arm64 5.30.0-9build1 5.30.0-9build1
2022-08-29 16:05:46 status half-configured perl-base:arm64 5.30.0-9build1
2022-08-29 16:05:46 status unpacked perl-base:arm64 5.30.0-9build1
2022-08-29 16:05:46 status half-installed perl-base:arm64 5.30.0-9build1
2022-08-29 16:05:46 status unpacked perl-base:arm64 5.30.0-9build1
2022-08-29 16:05:46 install procps:arm64 <none> 2:3.3.16-1ubuntu2
2022-08-29 16:05:46 status half-installed procps:arm64 2:3.3.16-1ubuntu2
2022-08-29 16:05:46 status unpacked procps:arm64 2:3.3.16-1ubuntu2
2022-08-29 16:05:46 install sed:arm64 <none> 4.7-1
2022-08-29 16:05:46 status half-installed sed:arm64 4.7-1
2022-08-29 16:05:46 status unpacked sed:arm64 4.7-1
2022-08-29 16:05:46 install sensible-utils:all <none> 0.0.12+nmu1
2022-08-29 16:05:46 status half-installed sensible-utils:all 0.0.12+nmu1
2022-08-29 16:05:46 status unpacked sensible-utils:all 0.0.12+nmu1
2022-08-29 16:05:46 install sysvinit-utils:arm64 <none> 2.96-2.1ubuntu1
